date,statistic,depth,temp_surface,salinity_surface,DO_perc_surface,DO_surface,pH_surface,temp_bottom,salinity_bottom,DO_perc_bottom,DO_bottom,pH_bottom,nitrate,nitrite,ammonia,phosphate,silica,turbidity
2014-09-30,Mean,74.33,29.41,30.72,76.36,4.96,7.79,29.84,33.57,88.62,5.22,7.87,0.88,0.0042,0,0.21,5.3,6
2014-09-30,Stdv,10.74,0.31,1.7,10.77,0.77,0.06,0.44,2.01,24.45,1.79,0.11,0.25,0.0044,0.01,0.06,1.2,1.9
2014-09-30,Min,62,28.75,27.29,60.3,3.83,7.72,28.88,29.67,47.4,2.56,7.74,0.46,0,0,0.11,4,4
2014-09-30,Max,98,29.69,32.64,93.3,6.13,7.89,30.3,37.51,124.2,7.58,8.03,1.27,0.013,0.02,0.29,8,9
2014-09-30,N,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2014-10-02,Mean,93.8,28.6,24.47,79.74,5.4,7.74,29.68,31.88,61.67,3.97,7.77,0.66,0.0036,0.01,0.91,9.2,3.5
2014-10-02,Stdv,14.21,0.94,7.17,11.11,0.84,0.18,0.71,1.43,26.81,1.74,0.17,0.35,0.0027,0.01,0.69,3.7,4.5
2014-10-02,Min,80,27.08,13.16,64.3,4.49,7.28,28.76,30.27,30.4,1.89,7.55,0.07,0,0,0.13,3,0
2014-10-02,Max,131,29.76,34.43,92.6,6.8,7.91,30.47,34.76,101.4,6.48,7.98,1.31,0.008,0.03,2.24,15,10
2014-10-02,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-10-07,Mean,97.3,29.75,33.57,93.24,6.64,7.99,29.84,34.19,99.59,6.17,7.97,0.73,0.0051,0,0.17,2.4,2.2
2014-10-07,Stdv,11.97,0.68,0.61,29.95,0.42,0.06,0.6,0.31,12.99,0.95,0.07,0.23,0.0043,0,0.09,0.8,3.2
2014-10-07,Min,88,28.8,32.53,11.3,6.01,7.85,29.04,33.83,76.1,4.33,7.85,0.43,0,0,0.09,1,0
2014-10-07,Max,128,30.73,34.44,113.2,7.22,8.05,30.56,34.67,115.7,7.21,8.05,1.12,0.013,0,0.38,4,10
2014-10-07,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-10-09,Mean,85.5,29.86,30.87,124.36,7.91,8,30.19,33.05,141.16,8.87,8.07,0.81,0.0029,0,1.23,6,4.4
2014-10-09,Stdv,12.3,0.81,3.82,14.81,0.82,0.08,0.48,1.05,16.9,1.1,0.08,0.26,0.002,0,0.62,2.5,3.9
2014-10-09,Min,70,28.15,23.01,100.9,6.62,7.85,29.45,31.61,116.5,7.32,7.97,0.34,0,0,0.39,3,0
2014-10-09,Max,115,30.77,34.67,148.9,9.41,8.14,30.78,34.67,175.6,11.15,8.18,1.31,0.006,0,2.26,10,11
2014-10-09,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10
2014-10-13,Mean,76.1,25.93,26.71,93.31,6.53,7.86,26.46,30.76,85.44,5.76,7.86,0.73,0.0034,0,1.1,7.5,6.6
2014-10-13,Stdv,7.69,0.51,3.82,7.24,0.61,0.07,0.46,1.34,7.72,0.51,0.06,0.34,0.0028,0,0.87,2.3,3.8
2014-10-13,Min,66,25.19,20.15,84.6,5.69,7.72,25.85,28.92,73.4,5.01,7.77,0.13,0,0,0.25,5,0
2014-10-13,Max,93,27.03,32.92,110.4,7.98,7.96,27.23,33.1,95,6.47,7.94,1.33,0.008,0.01,2.18,13,13
2014-10-13,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10
2014-10-15,Mean,73.7,28.56,27.27,80.15,5.32,7.81,29.2,32.35,115.23,7.38,7.97,0.58,0.0018,0,1.28,7.8,4.4
2014-10-15,Stdv,13.21,0.39,3.12,17.99,1.3,0.08,0.65,1.2,37.69,2.35,0.14,0.39,0.002,0,0.32,4,2.7
2014-10-15,Min,54,27.99,22.05,53.4,3.35,7.69,28.53,30.01,72.2,4.68,7.8,0,0,0,0.81,0,0
2014-10-15,Max,104,29.25,31.15,105.3,7.28,7.94,30.25,33.58,196.6,12.43,8.24,1.07,0.006,0,1.63,15,8
2014-10-15,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10
2014-10-20,Mean,77.6,27.65,6.65,89.17,6.78,7.63,27.29,25.99,112.28,7.7,7.92,0.09,0.0028,0.05,1.16,17.2,17.2
2014-10-20,Stdv,9.97,0.32,4.54,7.75,0.61,0.15,0.26,1.88,29.13,1.98,0.22,0.13,0.004,0.01,0.55,1.9,6.2
2014-10-20,Min,68,27.03,2.36,75.1,5.61,7.34,26.73,22.48,66.3,4.62,7.47,0,0,0.04,0.47,14,10
2014-10-20,Max,102,28.01,18.71,96.6,7.63,7.87,27.64,28.4,155.3,10.65,8.21,0.34,0.012,0.05,2.26,20,33
2014-10-20,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10
2014-10-22,Mean,85.6,28.31,20.52,96.58,6.73,7.91,28.84,30.46,119.87,7.8,8.05,0.39,0.0051,0.02,0.81,10.8,1.6
2014-10-22,Stdv,11.68,0.4,7.57,9.66,0.6,0.11,0.38,1.49,15.52,0.87,0.1,0.27,0.0021,0.01,0.37,4.1,3.1
2014-10-22,Min,72,27.8,10.96,84.4,5.41,7.66,28.26,27.53,94.2,6.4,7.87,0,0.002,0,0.28,3,0
2014-10-22,Max,111,28.96,31.14,114.3,7.5,8.04,29.63,32.26,140.9,9.23,8.2,0.79,0.009,0.03,1.31,15,10
2014-10-22,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10
2014-10-23,Mean,58.3,27,23.45,75.33,5.29,7.75,28.07,31.61,63,4.11,7.79,,,,,,
2014-10-23,Stdv,7.17,0.86,6.95,11.51,0.69,0.19,0.19,1.21,12.82,0.86,0.09,,,,,,
2014-10-23,Min,50,25.16,9.81,52.4,4.45,7.29,27.73,29.97,42.9,2.8,7.62,,,,,,
2014-10-23,Max,74,27.86,30.99,87.3,6.09,7.91,28.44,33.12,86.5,5.5,7.92,,,,,,
2014-10-23,N,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0
2014-10-27,Mean,65.5,26.6,20.62,98.83,7.02,7.88,27.86,29.45,110.86,7.3,8,0.89,0.0046,0.02,1.02,10.4,2.9
2014-10-27,Stdv,13.88,0.85,9.29,12.43,0.62,0.19,0.48,2.88,34.73,2.15,0.2,0.47,0.0043,0.02,0.72,5.5,3.2
2014-10-27,Min,52,25.3,5.07,74.4,5.93,7.39,27.11,25.38,79.1,5.14,7.6,0.12,0,0,0.24,3,0
2014-10-27,Max,100,27.96,32.58,121.7,8.01,8.09,28.56,33.27,178.8,11.73,8.33,1.76,0.014,0.04,2.05,20,8
2014-10-27,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10
2014-10-29,Mean,63.67,27.21,23.37,105.9,7.46,7.94,27.82,27.71,133.53,9.71,8.14,0.1,0.0043,0.12,0.41,6.7,3.4
2014-10-29,Stdv,8.44,0.38,3.82,10.87,0.58,0.08,0.58,1.88,30.51,2.73,0.19,0.17,0.0024,0.3,0.49,3.6,2.5
2014-10-29,Min,55,26.51,17.37,92.2,6.7,7.85,27.27,24.77,104.5,7.21,7.93,0,0.001,0.01,0,0,0
2014-10-29,Max,80,27.82,27.88,125,8.4,8.04,28.67,31.24,193.4,15,8.45,0.48,0.01,0.91,1.12,11,7
2014-10-29,N,9,9,9,9,8,8,9,9,8,9,9,9,9,9,4,9,9
2014-10-30,Mean,87.11,25.08,23.59,80.68,5.82,7.76,25.86,30.44,72.4,4.82,7.82,,,,,,
2014-10-30,Stdv,4.68,0.54,6.01,6.49,0.53,0.15,0.27,3.71,14.18,0.93,0.09,,,,,,
2014-10-30,Min,80,24.52,15.79,66.7,4.83,7.38,25.39,25.2,46.6,3.29,7.67,,,,,,
2014-10-30,Max,92,26.03,33.87,86.8,6.5,7.9,26.24,33.87,91.3,6.12,7.95,,,,,,
2014-10-30,N,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0
